codepoint,character,name
e0b9,,backslash_separator
e0bf,,backslash_separator_redundant
e0a3,,column_number
e0a3,,current_column
e0c0,,flame_thick
e0c2,,flame_thick_mirrored
e0c1,,flame_thin
e0c3,,flame_thin_mirrored
e0bb,,forwardslash_separator
e0bd,,forwardslash_separator_redundant
e0cc,,honeycomb
e0cd,,honeycomb_outline
e0c8,,ice_waveform
e0ca,,ice_waveform_mirrored
e0b6,,left_half_circle_thick
e0b7,,left_half_circle_thin
e0d7,,left_hard_divider_inverse
e0d0,,lego_block_facing
e0d1,,lego_block_sideways
e0ce,,lego_separator
e0cf,,lego_separator_thin
e0b8,,lower_left_triangle
e0ba,,lower_right_triangle
e0c6,,pixelated_squares_big
e0c7,,pixelated_squares_big_mirrored
e0c4,,pixelated_squares_small
e0c5,,pixelated_squares_small_mirrored
e0b4,,right_half_circle_thick
e0b5,,right_half_circle_thin
e0d6,,right_hard_divider_inverse
e0d2,,trapezoid_top_bottom
e0d4,,trapezoid_top_bottom_mirrored
e0bc,,upper_left_triangle
e0be,,upper_right_triangle